Start,End,Position
2017,present,"\textbf{Editorial Board Member}, \textit{Environmental Toxicology \& Chemistry}"
2015,present,"\textbf{Adjunct Professor}, Texas Tech University"
2014,present,"\textbf{Adjunct Professor}, University of Wisconsin--La  Crosse"
2015,2017,"\textbf{Crew Advisor}, Venture Crew 777, Onalaska, WI"
