Year,Degree,School
2013,PhD,"Texas Tech University, \textit{Major:} Environmental Toxicology, \textit{Minor:} Mathematics"
2009,MS,"Texas Tech University, \textit{Major:} Environmental Toxicology"
2007,BS,"University of Wisconsin--Stevens Point, \textit{Major:} Wildlife Ecology, \textit{Minor:} Chemistry"
2005,None,"University of Canterbury, Christchurch, NZ, \textit{Semester abroad}"
